Plant Code,NAME,TYPE,COAL_USED,NGAS_USED,OIL_USED,ADDRESS,CITY,STATE,ZIP,COUNTRY,lat,long,TYPE_Clear,TYPE_Clear_2,group
58815,HILTON NY CO GEN PLANT,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,109978,0,1335 AVENUE OF THE AMERICAS,NEW YORK CITY,NY,10019,USA,40.76227395,-73.97938115,GAS,GAS,FOSSIL
58816,BAYLES,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,GARADS FORT RD AND CARMICHAELS,GREENE,PA,15320,USA,39.81780061,-80.02512928,GAS,GAS,FOSSIL
58817,KELLY,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,ZANOT ROAD AND ROCKY RUN ROAD,TOBY TOWNSHIP,PA,16049,USA,41.07824932,-79.565,GAS,GAS,FOSSIL
58818,MILAN,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,530428,0,MILAN RD AND SUNNYSIDE RD,MILAN,PA,18831,USA,41.894444,-76.582778,GAS,GAS,FOSSIL
58819,RED GLEN,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,1084 WESTLAND AVENUE,CHARTIERS TOWNSHIP,PA,15301,USA,40.26192772,-80.26796379,GAS,GAS,FOSSIL
58820,SHIPPENVILLE,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,STATE ROUTE 322 AND FIBERBOARD,PAINT TOWNSHIP,PA,16254,USA,41.231366,-79.41490718,GAS,GAS,FOSSIL
58821,FLOREY KNOBB,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,PA STATE HWY 6 AND RAILS RD,MESHOPPEN,PA,18657,USA,41.599444,-76.009167,GAS,GAS,FOSSIL
58822,MILLVILLE CITY SEWER AUTH WTP,SOLAR PHOTOVOLTAIC,0,0,0,355 FOWSER ROAD,MILLVILLE,NJ,8332,USA,39.37562757,-75.03256107,SOLAR,SOLAR,SOLAR
58824,SHELDON SOLAR,SOLAR PHOTOVOLTAIC,0,0,0,121 HEATHER LANE,SHELDON SPRINGS,VT,5485,USA,44.91063928,-72.97950349,SOLAR,SOLAR,SOLAR
58825,MTHS CO-GEN BUILDINGS,NATURAL GAS INTERNAL COMBUSTION ENGINE,0,0,0,1131 SOUTH DEE RD,PARK RIDGE,IL,60068,USA,42.00207487,-87.85226364,GAS,GAS,FOSSIL
58826,AES ES TAIT,BATTERIES,0,0,0,2101ARBOR BLVD,DAYTON,OH,45439,USA,39.728611,-84.208333,Other,Other,Other
58827,FLANNAGAN HYDROELECTRIC PROJECT,CONVENTIONAL HYDROELECTRIC,0,0,0,192 WHITEWATER ROAD,HAYSI,VA,24256,USA,37.233333,-82.348611,HYDRO,HYDRO,HYDRO
58828,APPLE ONE,SOLAR PHOTOVOLTAIC,0,0,0,WOODSTONE DRIVE,NEWTON,NC,28658,USA,35.62949159,-81.15904982,SOLAR,SOLAR,SOLAR
58829,SONNE TWO,SOLAR PHOTOVOLTAIC,0,0,0,WEST OF MT. OLIVE CHURCH ROAD,NEWTON,NC,28658,USA,35.65600075,-81.18420111,SOLAR,SOLAR,SOLAR
58830,CROSS WINDS ENERGY PARK,ONSHORE WIND TURBINE,0,0,0,3741 WEST HOPPE RD,UNIONVILLE,MI,48767,USA,43.62090229,-83.4930513,WIND,WIND,WIND
58834,RICHLAND CENTER RENEWABLE ENERGY LLC,OTHER WASTE BIOMASS,0,3,0,24520 COUNTY HIGHWAY RC,RICHLAND CENTER,WI,53581,USA,43.314444,-90.373056,MSW,GAS,MSW
58836,LAKESWIND POWER PARTNERS,ONSHORE WIND TURBINE,0,0,0,29040 120TH AVE. S.,PELICAN RAPIDS,MN,56572,USA,46.72125043,-96.2071827,WIND,WIND,WIND
58837,NA PUA MAKANI WIND PROJECT,ONSHORE WIND TURBINE,0,0,0,56-452 KAMEHAMEHA HIGHWAY,KAHUKU,HI,96731,USA,21.666944,-157.97,WIND,WIND,WIND
58839,SUDBURY LANDFILL,SOLAR PHOTOVOLTAIC,0,0,0,20 BOSTON POST ROAD,SUDBURY,MA,1776,USA,42.36406032,-71.38582805,SOLAR,SOLAR,SOLAR
58840,"KENANSVILLE SOLAR FARM, LLC",SOLAR PHOTOVOLTAIC,0,0,0,328 BOWDENS ROAD,KENANSVILLE,NC,28349,USA,34.97043782,-77.97363636,SOLAR,SOLAR,SOLAR
58843,"BETHEL PRICE SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,227 PRICE ROAD,BETHEL,NC,27812,USA,35.79695654,-77.37866496,SOLAR,SOLAR,SOLAR
58844,"DOGWOOD SOLAR, LLC",SOLAR PHOTOVOLTAIC,0,0,0,34880 HIGHWAY 903,SCOTLAND NECK,NC,27874,USA,36.12130115,-77.4080222,SOLAR,SOLAR,SOLAR
58845,WASHINGTON AIRPORT SOLAR LLC,SOLAR PHOTOVOLTAIC,0,0,0,398 MINUTEMAN LANE,WASHINGTON,NC,27889,USA,35.56632204,-77.05143385,SOLAR,SOLAR,SOLAR
